league,season,md,source_file,player,name_key,team,club,position,jersey,nationality,player_id,date_of_birth,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow
UPL,2026/27,1,U21_stats_sample.xlsx,Sharifu Ssengendo,SHARIFU SSENGENDO,ENTEBBE,ENTEBBE UPPC FC,Midfield,38,Uganda,,,2,153,2,0,1,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Dan Daris Kazibwe,DAN DARIS KAZIBWE,ENTEBBE,ENTEBBE UPPC FC,Forward,28,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Reagan Isabirye,ISABIRYE REAGAN,ENTEBBE,ENTEBBE UPPC FC,Defender,27,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Marvin Ainamaani,AINAMAANI MARVIN,KIGEZI,Kigezi Home Boyz FC,,37,Uganda,,,1,0,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Jonathan Tahinduka,JONATHAN TAHINDUKA,KIGEZI,Kigezi Home Boyz FC,,38,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Julius Barasa,BARASA JULIUS,KIGEZI,Kigezi Home Boyz FC,,36,Uganda,,,1,82,1,0,1,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,James Tukei,JAMES TUKEI,KIGEZI,Kigezi Home Boyz FC,,30,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Richard Lempani,LEMPANI RICHARD,KATAKA,Kataka FC,Midfield,35,Uganda,,,1,18,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Chris Ronald Nsubuga,CHRIS NSUBUGA RONALD,KATAKA,Kataka FC,Goalkeeper,1,Uganda,,,2,180,2,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,George Okwakol Isiagi,GEORGE ISIAGI OKWAKOL,KATAKA,Kataka FC,,32,Uganda,,,2,136,2,0,1,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Charles Okello Batiibwe,BATIIBWE CHARLES OKELLO,NTUGASAZE,NTUGASAZE FC,Defender,35,Uganda,,,1,73,1,0,1,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Amisi Muba,AMISI MUBA,NTUGASAZE,NTUGASAZE FC,Goalkeeper,36,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Hamza Bukenya,BUKENYA HAMZA,NTUGASAZE,NTUGASAZE FC,Defender,40,Uganda,,,1,17,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Simon Mukisa,MUKISA SIMON,NTUGASAZE,NTUGASAZE FC,Defender,39,Uganda,,,2,180,2,0,0,0,0,0,0,0,0,0
