league,season,md,source,player_key,player_id,player,team,position,jersey,birth_year,u21_born_from,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow,report_minutes,team_points,team_matches
UPL,2025/26,2,reports,055884M06,055884M06,Dennis Kalanzi,POLICE,,10,2006.0,2004-01-01,1,34,0,1,0,0,,,,0,0,0,34.0,3.0,1.0
UPL,2025/26,2,reports,032556M05,032556M05,Rayn Figo Kizito,POLICE,,26,2005.0,2004-01-01,1,12,0,1,0,0,,,,0,0,0,12.0,3.0,1.0
UPL,2025/26,2,reports,022529M05,022529M05,Stephen Namaisi,POLICE,,30,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,3.0,1.0
UPL,2025/26,2,reports,036011M06,036011M06,Enrique Lubwama,UPDF,,26,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,026590M04,026590M04,Shamulan Kamya,UPDF,,27,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,032842M06,032842M06,Denis Luzige Kisiriko,URA,,28,2006.0,2004-01-01,1,90,1,0,1,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,2,reports,045544M05,045544M05,George Masembe,URA,,14,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,2,reports,043871M06,043871M06,Godfrey Sekibengo,URA,,30,2006.0,2004-01-01,1,87,1,0,1,0,,,,0,0,0,87.0,1.0,1.0
UPL,2025/26,2,reports,043298M06,043298M06,John Innocent Kisolo,URA,,26,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,2,reports,031869M04,031869M04,Hassan Mubiru,VILLA,,26,2004.0,2004-01-01,1,60,1,0,1,0,,,,0,0,0,60.0,0.0,1.0
UPL,2025/26,2,reports,064911M06,064911M06,Merickzedek Mangeni,VILLA,,30,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,2,reports,039141M07,039141M07,Raymon Barasa Mangoli,VILLA,,27,2007.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,3,reports,048868M06,048868M06,Denis Ssewagudde,BUL,,25,2006.0,2004-01-01,1,84,1,0,1,0,,,,0,0,0,84.0,1.0,1.0
UPL,2025/26,3,reports,038683M06,038683M06,Lwenda Sowedi,BUL,,28,2006.0,2004-01-01,1,28,0,1,0,0,,,,0,0,0,28.0,1.0,1.0
UPL,2025/26,3,reports,045395M05,045395M05,Simon Achidi,BUL,,30,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,039081M06,039081M06,Swabir Mpasa,BUL,,26,2006.0,2004-01-01,1,62,1,0,1,0,,,,0,0,0,62.0,1.0,1.0
UPL,2025/26,3,reports,027001M05,027001M05,Charles Okello Batiibwe,ENTEBBE,,27,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
