game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
KCCA-VS-URA,7,KCCA,URA,home,2,1,1,W,3,True,False,0,0,False,False,False,False
KITARA-VS-BUL,7,BUL,KITARA,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
KITARA-VS-BUL,7,KITARA,BUL,home,1,0,1,W,3,True,False,0,0,False,False,False,False
LUGAZI-VS-EXPRESS,7,EXPRESS,LUGAZI,away,0,0,0,D,1,False,False,0,0,False,False,False,False
LUGAZI-VS-EXPRESS,7,LUGAZI,EXPRESS,home,0,0,0,D,1,False,False,0,0,False,False,False,False
VILLA-VS-NEC,7,NEC,VILLA,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
VILLA-VS-NEC,7,VILLA,NEC,home,2,1,1,W,3,True,False,0,0,False,False,False,False
VIPERS-VS-MAROONS,7,MAROONS,VIPERS,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-MAROONS,7,VIPERS,MAROONS,home,2,1,1,W,3,True,False,0,0,False,False,False,False
BUL-VS-ENTEBBE,8,ENTEBBE,BUL,away,2,0,2,W,3,True,False,0,0,False,False,False,False
BUL-VS-ENTEBBE,8,BUL,ENTEBBE,home,0,2,-2,L,0,False,True,0,0,False,False,False,False
EXPRESS-VS-VIPERS,8,VIPERS,EXPRESS,away,3,0,3,W,3,True,False,0,0,False,False,False,False
EXPRESS-VS-VIPERS,8,EXPRESS,VIPERS,home,0,3,-3,L,0,False,True,0,0,False,False,False,False
MAROONS-VS-LUGAZI,8,LUGAZI,MAROONS,away,0,3,-3,L,0,False,True,0,0,False,False,False,False
MAROONS-VS-LUGAZI,8,MAROONS,LUGAZI,home,3,0,3,W,3,True,False,0,0,False,False,False,False
MAROONS-VS-NEC,8,NEC,MAROONS,away,1,1,0,D,1,False,True,1,0,False,True,False,False
MAROONS-VS-NEC,8,MAROONS,NEC,home,1,1,0,D,1,True,False,0,2,False,False,False,True
MBARARA-VS-KCCA,8,KCCA,MBARARA,away,2,1,1,W,3,True,False,0,0,False,False,False,False
MBARARA-VS-KCCA,8,MBARARA,KCCA,home,1,2,-1,L,0,False,True,0,0,False,False,False,False
