game,player,team,caution,min,added_time,double-caution,md
KITARA-vs-BUL,Tah Barni Kelvin,BUL,yellow,12,no,No,7
KITARA-vs-BUL,Tah Barni Kelvin,BUL,yellow,28,no,yes,7
KITARA-vs-BUL,Murushid Juuko,KITARA,yellow,37,no,No,7
KITARA-vs-BUL,Jimmy Kalema,KITARA,yellow,88,no,No,7
LUGAZI-vs-EXPRESS,Ayiko Richard,LUGAZI,yellow,72,no,No,7
LUGAZI-vs-EXPRESS,Dauson Mafumu,LUGAZI,yellow,76,no,No,7
LUGAZI-vs-EXPRESS,Peter Onzima,EXPRESS,yellow,85,no,No,7
BUHIMBA-vs-MBARARA,Wycliffe Ahumuza,MBARARA,yellow,1,no,No,7
BUHIMBA-vs-MBARARA,Denis Kaka Omony,MBARARA,yellow,28,no,No,7
BUHIMBA-vs-MBARARA,Anwaru Mustafa Ntege,BUHIMBA,yellow,79,no,No,7
KCCA-vs-URA,Saidi Mayanja,KCCA,yellow,34,no,No,7
KCCA-vs-URA,Nicholas Kabonge,URA,yellow,43,no,No,7
KCCA-vs-URA,Joseph Ssemujju,URA,yellow,66,no,No,7
KCCA-vs-URA,James Mubezi,KCCA,yellow,80,no,No,7
KCCA-vs-URA,Charles Lukwago,KCCA,yellow,90(+4),yes,No,7
VIPERS-vs-MAROONS,Fredrick Nickolas Kigozi,MAROONS,yellow,23,no,No,7
VIPERS-vs-MAROONS,Brian Nkuubi,MAROONS,yellow,75,no,No,7
VILLA-vs-NEC,Geoffrey Lubanga Kene,Villa,yellow,44,no,No,7
VILLA-vs-NEC,CHARLES MOSES WAIBI,NEC,yellow,45(+1),yes,No,7
VILLA-vs-NEC,Najib Yiga,Villa,yellow,56,no,No,7
VILLA-vs-NEC,Ibrahim Kasinde,Villa,yellow,80,no,No,7
VILLA-vs-NEC,Elivis Ngonde,Villa,yellow,90(+3),yes,No,7
MAROONS-vs-NEC,Derick Basoga,MAROONS,yellow,54,no,No,8
MAROONS-vs-NEC,Dhata Joseph Stephen Lujang,NEC,yellow,82,no,No,8
